HRLM,TC,GSR,INCLY,INCLZ,INCLX
75,32.625,505,0.0136077415,86.5871582031,-3.4848017692
75,32.4375,506,-0.0272082471,86.5607376098,-3.7418396472
75,32.4375,506,0.0815822124,86.3029174804,-3.5815432071
75,32.375,506,-0.0408275365,86.4638748168,-3.4514234066
75,32.5,505,0.1227038264,86.5920410156,-3.3458089828
75,32.25,505,-0.1359313964,86.6970748901,-3.5119583606
75,32.5625,505,0.0408111858,86.533454895,-3.354568243
75,32.4375,511,-0.312191987,86.6765518188,-3.6963145732
75,32.3125,504,0.1635612869,86.345703125,-3.5832440853
75,32.25,511,,86.4624023437,-3.5909149646
75,32.5,505,-0.3013314247,86.4420852661,-3.5069684982
75,32.4375,506,0.0407532691,86.538444519,-3.5849704742
75,32.375,505,0.0546967077,86.4602584838,-3.6945588588
75,32.4375,506,-0.163483715,86.3474655151,-3.3945708274
75,32.5,505,,86.6510772705,-3.596039772
75,32.4375,505,-0.1229778051,86.4475021362,-3.6436507701
75,32.4375,505,0.0136374449,86.401977539,-3.64858675
75,32.3125,505,,86.3970642089,-3.8322555541
75,32.4375,505,-0.1493740081,86.2104721069,-3.3969752788
75,32.4375,505,-0.1772486448,86.6440429687,-3.5355942249
75,32.375,505,0.0954960632,86.5087661743,-3.6928174495
75,32.4375,511,0.0680860614,86.3522033691,-3.4761633872
75,32.375,506,-0.1089893455,86.5677719116,-3.5113806724
75,32.4375,512,0.0135489797,86.5342407226,-3.6427550315
75,32.375,505,0.2317802667,86.3955078125,-3.6214306354
75,32.375,505,0.0272106933,86.4241180419,-3.5257225036
75,32.5,505,-0.1626233005,86.5161743164,-3.7085459232
75,32.4375,505,-0.1085996389,86.3355102539,-3.6870741844
75,32.5625,505,-0.2456362724,86.3503799438,-3.652911663
75,32.5,505,-0.1089684247,86.3911056518,-3.9546785354
75,32.4375,505,-0.1226341724,86.0890655517,-3.5951249599
75,32.5625,505,-0.0544358968,86.4501113891,-3.5280306339
75,32.5,505,-0.1769711399,86.5131683349,-3.6717422008
