INCLY,INCLZ,INCLX
1.91007061,83.7344436645,-5.7307271957
1.8983060836,84.0066986083,-6.191997528
1.8299053192,83.5868835449,-5.8412308692
1.8988538742,83.9014892578,-6.1256837844
1.9389652252,83.6181793212,-6.1623706817
1.9598359107,83.5768356323,-6.1022238731
1.9087738037,83.64969635,-6.0687351226
1.8966958999,83.6853027343,-5.98416996
1.8288734436,83.7863006591,-5.7635993957
2.1497123241,83.8916549682,-6.0406818389
2.105369091,83.6460037231,-5.6911816596
1.9398431777,84.030883789,-5.9887938499
1.8837888717,83.7655029296,-5.9291276931
2.0549292564,83.7681045532,-6.0469670295
2.1668491363,83.6194458007,-5.8522720336
2.0022494792,83.8580703735,-5.8418726921
1.8943060874,83.9022903442,-5.9329428672
1.9244447708,83.8062667846,-6.1430234909
1.9580377578,83.5958328247,-5.9887657165
2.2661786079,83.6395263671,-5.8038845062
1.8500406265,83.9521102905,-6.0267348289
2.2376768589,83.6140213012,-5.9239578247
1.9307228088,83.8128585815,-5.9543123245
2.1766731739,83.7032470703,-5.8497853279
1.9196802139,83.8868408203,-6.1350359916
2.1457033157,83.5434951782,-5.714767456
2.1791625022,83.9269180297,-5.7073202133
1.994665718,83.9976196289,-5.8505167961
1.9015450477,83.8918151855,-5.6928305625
1.8766984939,84.0495147705,-6.0319132804
1.7631213665,83.7595062255,-6.1424531936
2.1074800491,83.549079895,-6.1353611946
1.9463353157,83.6067123413,-6.0020785331
1.9655810356,83.7276687622,-5.8925538063
2.2114846706,83.7490234375,-5.8447809219
1.8543272018,83.9118118286,-6.0687875747
2.042271614,83.6399993896,-5.6775918006
1.9624918937,84.0363388061,-6.0645289421
2.0272319316,83.6488494873,-5.8104486465
1.874970436,83.9381866455,-5.9468278884
1.9156873703,83.7957611083,-5.8443393707
1.8906845092,83.9010696411,-5.7364273071
2.1770017147,83.9074325561,-5.9889264106
2.0566682815,83.7109756469,-5.8214135169
1.8921152114,83.9224395751,-5.8953709602
2.2243773937,83.7418136596,-5.9622325897
1.8884000778,83.7894439697,-5.8875699043
1.9322313308,83.8469848632,-6.047235012
2.0987710952,83.641998291,-6.0059394836
2.0844855308,83.6857452392,-6.037984848
2.0636835098,83.6622543334,-5.6448135375
2.0917823314,84.023361206,-6.1130857467
1.8267024993,83.6634750366,-5.9638400077
1.8938896179,83.786239624,-5.9892272949
1.975012207,83.7369155883,-5.9349484443
2.0024297237,83.7796936035,-5.935517311
1.8390828132,83.829788208,-5.814977169
2.1484925746,83.8438949584,-6.0603771209
1.9850433349,83.6661453247,-5.7885956764
2.0175318717,83.9132690429,-5.9016842842
1.8959142684,83.8448486328,-5.7530546188
2.0506827831,83.9357070922,-5.9441695213
2.028163433,83.7626419067,-6.1558823585
2.2248973846,83.4971084594,-5.7447123527
2.1019859313,83.9260253906,-6.0500512123
2.1133861541,83.6344985961,-5.7415976524
1.9155843734,83.9908905029,-5.935286045
1.907147789,83.809387207,-5.9222545623
1.8714748382,83.8327102661,-6.2361116409
1.9069920539,83.5222625732,-6.032148838
2.1255538463,83.6473464965,-6.0375609397
2.1721971035,83.6264877319,-5.8764004707
2.1559638977,83.7836227416,-5.9449110031
1.9784795761,83.7779083251,-5.9897484779
1.825289154,83.7820129394,-6.1567368507
1.9036397933,83.5991516113,-5.9544196128
2.1494905948,83.7124938964,-5.9283280372
2.0321011543,83.7763519287,-5.8309245109
2.0851449966,83.8506774902,-5.6149344444
2.08228302,84.0547180175,-6.0529747009
1.8781718254,83.7059020996,-5.7619881629
